INSERT INTO seats (seat_number, class_type) VALUES
('SE001', 'First Class'),
('SE002', 'First Class'),
('SE003', 'First Class'),
('SE004', 'First Class'),
('SE005', 'First Class'),
('SE006', 'First Class'),
('SE007', 'First Class'),
('SE008', 'First Class'),
('SE009', 'First Class'),
('SE010', 'First Class'),
('SE011', 'Business'),
('SE012', 'Business'),
('SE013', 'Business'),
('SE014', 'Business'),
('SE015', 'Business'),
('SE016', 'Business'),
('SE017', 'Business'),
('SE018', 'Business'),
('SE019', 'Business'),
('SE020', 'Business'),
('SE021', 'Business'),
('SE022', 'Business'),
('SE023', 'Business'),
('SE024', 'Business'),
('SE025', 'Business'),
('SE026', 'Business'),
('SE027', 'Business'),
('SE028', 'Business'),
('SE029', 'Business'),
('SE030', 'Business'),
('SE031', 'Economy'),
('SE032', 'Economy'),
('SE033', 'Economy'),
('SE034', 'Economy'),
('SE035', 'Economy'),
('SE036', 'Economy'),
('SE037', 'Economy'),
('SE038', 'Economy'),
('SE039', 'Economy'),
('SE040', 'Economy'),
('SE041', 'Economy'),
('SE042', 'Economy'),
('SE043', 'Economy'),
('SE044', 'Economy'),
('SE045', 'Economy'),
('SE046', 'Economy'),
('SE047', 'Economy'),
('SE048', 'Economy'),
('SE049', 'Economy'),
('SE050', 'Economy'),
('SE051', 'Economy'),
('SE052', 'Economy'),
('SE053', 'Economy'),
('SE054', 'Economy'),
('SE055', 'Economy'),
('SE056', 'Economy'),
('SE057', 'Economy'),
('SE058', 'Economy'),
('SE059', 'Economy'),
('SE060', 'Economy'),
('SE061', 'Economy'),
('SE062', 'Economy'),
('SE063', 'Economy'),
('SE064', 'Economy'),
('SE065', 'Economy'),
('SE066', 'Economy'),
('SE067', 'Economy'),
('SE068', 'Economy'),
('SE069', 'Economy'),
('SE070', 'Economy'),
('SE071', 'Economy'),
('SE072', 'Economy'),
('SE073', 'Economy'),
('SE074', 'Economy'),
('SE075', 'Economy'),
('SE076', 'Economy'),
('SE077', 'Economy'),
('SE078', 'Economy'),
('SE079', 'Economy'),
('SE080', 'Economy'),
('SE081', 'Economy'),
('SE082', 'Economy'),
('SE083', 'Economy'),
('SE084', 'Economy'),
('SE085', 'Economy'),
('SE086', 'Economy'),
('SE087', 'Economy'),
('SE088', 'Economy'),
('SE089', 'Economy'),
('SE090', 'Economy'),
('SE091', 'Economy'),
('SE092', 'Economy'),
('SE093', 'Economy'),
('SE094', 'Economy'),
('SE095', 'Economy'),
('SE096', 'Economy'),
('SE097', 'Economy'),
('SE098', 'Economy'),
('SE099', 'Economy'),
('SE100', 'Economy'),
('SE101', 'Economy'),
('SE102', 'Economy'),
('SE103', 'Economy'),
('SE104', 'Economy'),
('SE105', 'Economy'),
('SE106', 'Economy'),
('SE107', 'Economy'),
('SE108', 'Economy'),
('SE109', 'Economy'),
('SE110', 'Economy'),
('SE111', 'Economy'),
('SE112', 'Economy'),
('SE113', 'Economy'),
('SE114', 'Economy'),
('SE115', 'Economy'),
('SE116', 'Economy'),
('SE117', 'Economy'),
('SE118', 'Economy'),
('SE119', 'Economy'),
('SE120', 'Economy'),
('SE121', 'Economy'),
('SE122', 'Economy'),
('SE123', 'Economy'),
('SE124', 'Economy'),
('SE125', 'Economy'),
('SE126', 'Economy'),
('SE127', 'Economy'),
('SE128', 'Economy'),
('SE129', 'Economy'),
('SE130', 'Economy'),
('SE131', 'Economy'),
('SE132', 'Economy'),
('SE133', 'Economy'),
('SE134', 'Economy'),
('SE135', 'Economy'),
('SE136', 'Economy'),
('SE137', 'Economy'),
('SE138', 'Economy'),
('SE139', 'Economy'),
('SE140', 'Economy'),
('SE141', 'Economy'),
('SE142', 'Economy'),
('SE143', 'Economy'),
('SE144', 'Economy'),
('SE145', 'Economy'),
('SE146', 'Economy'),
('SE147', 'Economy'),
('SE148', 'Economy'),
('SE149', 'Economy'),
('SE150', 'Economy'),
('SE151', 'Economy'),
('SE152', 'Economy'),
('SE153', 'Economy'),
('SE154', 'Economy'),
('SE155', 'Economy'),
('SE156', 'Economy'),
('SE157', 'Economy'),
('SE158', 'Economy'),
('SE159', 'Economy'),
('SE160', 'Economy'),
('SE161', 'Economy'),
('SE162', 'Economy'),
('SE163', 'Economy'),
('SE164', 'Economy'),
('SE165', 'Economy'),
('SE166', 'Economy'),
('SE167', 'Economy'),
('SE168', 'Economy'),
('SE169', 'Economy'),
('SE170', 'Economy'),
('SE171', 'Economy'),
('SE172', 'Economy'),
('SE173', 'Economy'),
('SE174', 'Economy'),
('SE175', 'Economy'),
('SE176', 'Economy'),
('SE177', 'Economy'),
('SE178', 'Economy'),
('SE179', 'Economy'),
('SE180', 'Economy'),
('SE181', 'Economy'),
('SE182', 'Economy'),
('SE183', 'Economy'),
('SE184', 'Economy'),
('SE185', 'Economy'),
('SE186', 'Economy'),
('SE187', 'Economy'),
('SE188', 'Economy'),
('SE189', 'Economy'),
('SE190', 'Economy'),
('SE191', 'Economy'),
('SE192', 'Economy'),
('SE193', 'Economy'),
('SE194', 'Economy'),
('SE195', 'Economy'),
('SE196', 'Economy'),
('SE197', 'Economy'),
('SE198', 'Economy'),
('SE199', 'Economy'),
('SE200', 'Economy'),
('SE201', 'Economy'),
('SE202', 'Economy'),
('SE203', 'Economy'),
('SE204', 'Economy'),
('SE205', 'Economy'),
('SE206', 'Economy'),
('SE207', 'Economy'),
('SE208', 'Economy'),
('SE209', 'Economy'),
('SE210', 'Economy'),
('SE211', 'Economy'),
('SE212', 'Economy'),
('SE213', 'Economy'),
('SE214', 'Economy'),
('SE215', 'Economy'),
('SE216', 'Economy'),
('SE217', 'Economy'),
('SE218', 'Economy'),
('SE219', 'Economy'),
('SE220', 'Economy'),
('SE221', 'Economy'),
('SE222', 'Economy'),
('SE223', 'Economy'),
('SE224', 'Economy'),
('SE225', 'Economy'),
('SE226', 'Economy'),
('SE227', 'Economy'),
('SE228', 'Economy'),
('SE229', 'Economy'),
('SE230', 'Economy'),
('SE231', 'Economy'),
('SE232', 'Economy'),
('SE233', 'Economy'),
('SE234', 'Economy'),
('SE235', 'Economy'),
('SE236', 'Economy'),
('SE237', 'Economy'),
('SE238', 'Economy'),
('SE239', 'Economy'),
('SE240', 'Economy'),
('SE241', 'Economy'),
('SE242', 'Economy'),
('SE243', 'Economy'),
('SE244', 'Economy'),
('SE245', 'Economy'),
('SE246', 'Economy'),
('SE247', 'Economy'),
('SE248', 'Economy'),
('SE249', 'Economy'),
('SE250', 'Economy'),
('SE251', 'Economy'),
('SE252', 'Economy'),
('SE253', 'Economy'),
('SE254', 'Economy'),
('SE255', 'Economy'),
('SE256', 'Economy'),
('SE257', 'Economy'),
('SE258', 'Economy'),
('SE259', 'Economy'),
('SE260', 'Economy'),
('SE261', 'Economy'),
('SE262', 'Economy'),
('SE263', 'Economy'),
('SE264', 'Economy'),
('SE265', 'Economy'),
('SE266', 'Economy'),
('SE267', 'Economy'),
('SE268', 'Economy'),
('SE269', 'Economy'),
('SE270', 'Economy'),
('SE271', 'Economy'),
('SE272', 'Economy'),
('SE273', 'Economy'),
('SE274', 'Economy'),
('SE275', 'Economy'),
('SE276', 'Economy'),
('SE277', 'Economy'),
('SE278', 'Economy'),
('SE279', 'Economy'),
('SE280', 'Economy'),
('SE281', 'Economy'),
('SE282', 'Economy'),
('SE283', 'Economy'),
('SE284', 'Economy'),
('SE285', 'Economy'),
('SE286', 'Economy'),
('SE287', 'Economy'),
('SE288', 'Economy'),
('SE289', 'Economy'),
('SE290', 'Economy'),
('SE291', 'Economy'),
('SE292', 'Economy'),
('SE293', 'Economy'),
('SE294', 'Economy'),
('SE295', 'Economy'),
('SE296', 'Economy'),
('SE297', 'Economy'),
('SE298', 'Economy'),
('SE299', 'Economy'),
('SE300', 'Economy');
