Entity;Week;Day;Flights;Day 2019;Flights 2019 (Reference);% vs 2019 (Daily)
Albania;1;2020-01-01;68;2019-01-02;69;-1,45%
Albania;1;2020-01-02;83;2019-01-03;77;7,79%
Albania;1;2020-01-03;80;2019-01-04;77;3,90%
Albania;1;2020-01-04;71;2019-01-05;70;1,43%
Albania;1;2020-01-05;91;2019-01-06;79;15,19%
Albania;2;2020-01-06;82;2019-01-07;76;7,89%
Albania;2;2020-01-07;81;2019-01-08;62;30,65%
Albania;2;2020-01-08;76;2019-01-09;75;1,33%
Albania;2;2020-01-09;80;2019-01-10;67;19,40%
Albania;2;2020-01-10;73;2019-01-11;71;2,82%
Albania;2;2020-01-11;67;2019-01-12;66;1,52%
Albania;2;2020-01-12;63;2019-01-13;75;-16,00%
Albania;3;2020-01-13;72;2019-01-14;63;14,29%
Albania;3;2020-01-14;57;2019-01-15;56;1,79%
Albania;3;2020-01-15;58;2019-01-16;52;11,54%
Albania;3;2020-01-16;70;2019-01-17;55;27,27%
Albania;3;2020-01-17;67;2019-01-18;63;6,35%
Albania;3;2020-01-18;50;2019-01-19;54;-7,41%
Albania;3;2020-01-19;52;2019-01-20;65;-20,00%
Albania;4;2020-01-20;74;2019-01-21;67;10,45%
Albania;4;2020-01-21;56;2019-01-22;56;0,00%
Albania;4;2020-01-22;55;2019-01-23;56;-1,79%
Albania;4;2020-01-23;69;2019-01-24;57;21,05%
Albania;4;2020-01-24;62;2019-01-25;64;-3,13%
Albania;4;2020-01-25;54;2019-01-26;54;0,00%
Albania;4;2020-01-26;60;2019-01-27;65;-7,69%
Albania;5;2020-01-27;67;2019-01-28;64;4,69%
Albania;5;2020-01-28;54;2019-01-29;53;1,89%
Albania;5;2020-01-29;50;2019-01-30;56;-10,71%
Albania;5;2020-01-30;64;2019-01-31;58;10,34%
Albania;5;2020-01-31;65;2019-02-01;62;4,84%
Albania;5;2020-02-01;50;2019-02-02;54;-7,41%
Albania;5;2020-02-02;58;2019-02-03;66;-12,12%
Albania;6;2020-02-03;65;2019-02-04;62;4,84%
Albania;6;2020-02-04;50;2019-02-05;57;-12,28%
Albania;6;2020-02-05;49;2019-02-06;57;-14,04%
Albania;6;2020-02-06;70;2019-02-07;61;14,75%
Albania;6;2020-02-07;63;2019-02-08;66;-4,55%
