Entity,Week,Day,Flights,Day 2019,Flights 2019 (Reference),% vs 2019 (Daily),Day Previous Year,Flights Previous Year
Albania,53,1/1/21,19,4/1/19,77,-75.32%,3/1/20,80
Albania,53,2/1/21,36,5/1/19,70,-48.57%,4/1/20,71
Albania,53,3/1/21,51,6/1/19,79,-35.44%,5/1/20,91
Albania,1,4/1/21,45,7/1/19,76,-40.79%,6/1/20,82
Albania,1,5/1/21,28,8/1/19,62,-54.84%,7/1/20,81
Albania,1,6/1/21,34,9/1/19,75,-54.67%,8/1/20,76
Albania,1,7/1/21,39,10/1/19,67,-41.79%,9/1/20,80
Albania,1,8/1/21,48,11/1/19,71,-32.39%,10/1/20,73
Albania,1,9/1/21,32,12/1/19,66,-51.52%,11/1/20,67
Albania,1,10/1/21,43,13/1/19,75,-42.67%,12/1/20,63
Albania,2,11/1/21,45,14/1/19,63,-28.57%,13/1/20,72
Albania,2,12/1/21,24,15/1/19,56,-57.14%,14/1/20,57
Albania,2,13/1/21,33,16/1/19,52,-36.54%,15/1/20,58
Albania,2,14/1/21,26,17/1/19,55,-52.73%,16/1/20,70
Albania,2,15/1/21,60,18/1/19,63,-4.76%,17/1/20,67
Albania,2,16/1/21,23,19/1/19,54,-57.41%,18/1/20,50
Albania,2,17/1/21,30,20/1/19,65,-53.85%,19/1/20,52
Albania,3,18/1/21,38,21/1/19,67,-43.28%,20/1/20,74
Albania,3,19/1/21,21,22/1/19,56,-62.50%,21/1/20,56
Albania,3,20/1/21,28,23/1/19,56,-50.00%,22/1/20,55
Albania,3,21/1/21,33,24/1/19,57,-42.11%,23/1/20,69
Albania,3,22/1/21,34,25/1/19,64,-46.88%,24/1/20,62
Albania,3,23/1/21,27,26/1/19,54,-50.00%,25/1/20,54
Albania,3,24/1/21,32,27/1/19,65,-50.77%,26/1/20,60
Albania,4,25/1/21,39,28/1/19,64,-39.06%,27/1/20,67
Albania,4,26/1/21,22,29/1/19,53,-58.49%,28/1/20,54
Albania,4,27/1/21,22,30/1/19,56,-60.71%,29/1/20,50
Albania,4,28/1/21,28,31/1/19,58,-51.72%,30/1/20,64
Albania,4,29/1/21,38,1/2/19,62,-38.71%,31/1/20,65
Albania,4,30/1/21,28,2/2/19,54,-48.15%,1/2/20,50
Albania,4,31/1/21,38,3/2/19,66,-42.42%,2/2/20,58
Albania,5,1/2/21,33,4/2/19,62,-46.77%,3/2/20,65
Albania,5,2/2/21,25,5/2/19,57,-56.14%,4/2/20,50
Albania,5,3/2/21,38,6/2/19,57,-33.33%,5/2/20,49
Albania,5,4/2/21,36,7/2/19,61,-40.98%,6/2/20,70
Albania,5,5/2/21,43,8/2/19,66,-34.85%,7/2/20,63
Albania,5,6/2/21,27,9/2/19,54,-50.00%,8/2/20,55
